Wavelength,Transmission
3798.0,0.000102
3799.0,0.000105
3800.0,0.000107
3801.0,0.000109
3802.0,0.00011
3803.0,0.000112
3804.0,0.000114
3805.0,0.000118
3806.0,0.000123
3807.0,0.00013
3808.0,0.00014
3809.0,0.000152
3810.0,0.000168
3811.0,0.000188
3812.0,0.000211
3813.0,0.000238
3814.0,0.000269
3815.0,0.000304
3816.0,0.000343
3817.0,0.000385
3818.0,0.000431
3819.0,0.000481
3820.0,0.000534
3821.0,0.000591
3822.0,0.000652
3823.0,0.000717
3824.0,0.000787
3825.0,0.000861
3826.0,0.00094
3827.0,0.001025
3828.0,0.001114
3829.0,0.00121
3830.0,0.001312
3831.0,0.00142
3832.0,0.001535
3833.0,0.001657
3834.0,0.001787
3835.0,0.001926
3836.0,0.002073
3837.0,0.00223
3838.0,0.002397
3839.0,0.002574
3840.0,0.002762
3841.0,0.002962
3842.0,0.003174
3843.0,0.003399
3844.0,0.003638
3845.0,0.003892
3846.0,0.004162
3847.0,0.004449
3848.0,0.004753
3849.0,0.005075
3850.0,0.005417
3851.0,0.005779
3852.0,0.006162
3853.0,0.006566
3854.0,0.006993
3855.0,0.007443
3856.0,0.007917
3857.0,0.008416
3858.0,0.008941
3859.0,0.009492
3860.0,0.01007
3861.0,0.010676
3862.0,0.011312
3863.0,0.011979
3864.0,0.012677
3865.0,0.013409
3866.0,0.014176
3867.0,0.014979
3868.0,0.01582
3869.0,0.0167
3870.0,0.01762
3871.0,0.018582
3872.0,0.019587
3873.0,0.020635
3874.0,0.021729
3875.0,0.02287
3876.0,0.024058
3877.0,0.025295
3878.0,0.026582
3879.0,0.02792
3880.0,0.02931
3881.0,0.030754
3882.0,0.03225
3883.0,0.033799
3884.0,0.0354
3885.0,0.037053
3886.0,0.038756
3887.0,0.04051
3888.0,0.042314
3889.0,0.044168
3890.0,0.04607
3891.0,0.048021
3892.0,0.050017
3893.0,0.052059
3894.0,0.054142
3895.0,0.056265
3896.0,0.058427
3897.0,0.060624
3898.0,0.062855
3899.0,0.065118
3900.0,0.06741
3901.0,0.06973
3902.0,0.072076
3903.0,0.074447
3904.0,0.07684
3905.0,0.079256
3906.0,0.081692
3907.0,0.084147
3908.0,0.086619
3909.0,0.089107
3910.0,0.09161
3911.0,0.094126
3912.0,0.096653
3913.0,0.099191
3914.0,0.101737
3915.0,0.10429
3916.0,0.106848
3917.0,0.109409
3918.0,0.111973
3919.0,0.114537
3920.0,0.1171
3921.0,0.11966
3922.0,0.122216
3923.0,0.124766
3924.0,0.127308
3925.0,0.129841
