Wavelength,Transmission
6549.0,0.000102
6550.0,0.000107
6551.0,0.000112
6552.0,0.000117
6553.0,0.000121
6554.0,0.000126
6555.0,0.000131
6556.0,0.000135
6557.0,0.00014
6558.0,0.000144
6559.0,0.000149
6560.0,0.000153
6561.0,0.000157
6562.0,0.000161
6563.0,0.000165
6564.0,0.00017
6565.0,0.000174
6566.0,0.000178
6567.0,0.000183
6568.0,0.000188
6569.0,0.000193
6570.0,0.000198
6571.0,0.000204
6572.0,0.00021
6573.0,0.000216
6574.0,0.000223
6575.0,0.00023
6576.0,0.000238
6577.0,0.000247
6578.0,0.000256
6579.0,0.000265
6580.0,0.000275
6581.0,0.000286
6582.0,0.000297
6583.0,0.000308
6584.0,0.00032
6585.0,0.000333
6586.0,0.000345
6587.0,0.000358
6588.0,0.000371
6589.0,0.000384
6590.0,0.000397
6591.0,0.00041
6592.0,0.000423
6593.0,0.000435
6594.0,0.000448
6595.0,0.00046
6596.0,0.000472
6597.0,0.000484
6598.0,0.000496
6599.0,0.000508
6600.0,0.000519
6601.0,0.00053
6602.0,0.000541
6603.0,0.000552
6604.0,0.000563
6605.0,0.000575
6606.0,0.000587
6607.0,0.000599
6608.0,0.000612
6609.0,0.000626
6610.0,0.000641
6611.0,0.000657
6612.0,0.000674
6613.0,0.000692
6614.0,0.00071
6615.0,0.00073
6616.0,0.00075
6617.0,0.000772
6618.0,0.000793
6619.0,0.000816
6620.0,0.000839
6621.0,0.000863
6622.0,0.000887
6623.0,0.000911
6624.0,0.000937
6625.0,0.000962
6626.0,0.000988
6627.0,0.001015
6628.0,0.001043
6629.0,0.001071
6630.0,0.001099
6631.0,0.001128
6632.0,0.001158
6633.0,0.001188
6634.0,0.001219
6635.0,0.00125
6636.0,0.001283
6637.0,0.001316
6638.0,0.001349
6639.0,0.001384
6640.0,0.001419
6641.0,0.001455
6642.0,0.001492
6643.0,0.00153
6644.0,0.001568
6645.0,0.001608
6646.0,0.001648
6647.0,0.001689
6648.0,0.00173
6649.0,0.001773
6650.0,0.001816
6651.0,0.00186
6652.0,0.001905
6653.0,0.001951
