Wavelength,Transmission
5343.0,0.000109
5344.0,0.000122
5345.0,0.000136
5346.0,0.00015
5347.0,0.000165
5348.0,0.000181
5349.0,0.000197
5350.0,0.000214
5351.0,0.000232
5352.0,0.00025
5353.0,0.000269
5354.0,0.00029
5355.0,0.000313
5356.0,0.000337
5357.0,0.000363
5358.0,0.000392
5359.0,0.000424
5360.0,0.000458
5361.0,0.000495
5362.0,0.000536
5363.0,0.00058
5364.0,0.000628
5365.0,0.000679
5366.0,0.000734
5367.0,0.000792
5368.0,0.000855
5369.0,0.000921
5370.0,0.000992
5371.0,0.001067
5372.0,0.001147
5373.0,0.001231
5374.0,0.001321
5375.0,0.001417
5376.0,0.001519
5377.0,0.001628
5378.0,0.001744
5379.0,0.001868
5380.0,0.001999
5381.0,0.002139
5382.0,0.002287
5383.0,0.002446
5384.0,0.002614
5385.0,0.002793
5386.0,0.002984
5387.0,0.003187
5388.0,0.003403
5389.0,0.003633
5390.0,0.003876
5391.0,0.004134
5392.0,0.004408
5393.0,0.004698
5394.0,0.005005
5395.0,0.00533
5396.0,0.005673
5397.0,0.006036
5398.0,0.006419
5399.0,0.006823
5400.0,0.007248
5401.0,0.007696
5402.0,0.008167
5403.0,0.008662
5404.0,0.009183
5405.0,0.009729
5406.0,0.010302
5407.0,0.010903
5408.0,0.011532
5409.0,0.012191
5410.0,0.01288
5411.0,0.0136
5412.0,0.014352
5413.0,0.015137
5414.0,0.015955
5415.0,0.016807
5416.0,0.017695
5417.0,0.018618
5418.0,0.019578
5419.0,0.020575
5420.0,0.02161
5421.0,0.022684
5422.0,0.023798
5423.0,0.024953
5424.0,0.026149
5425.0,0.027387
5426.0,0.028668
5427.0,0.029993
5428.0,0.031363
5429.0,0.032778
5430.0,0.03424
5431.0,0.035749
5432.0,0.037305
5433.0,0.038908
5434.0,0.040559
5435.0,0.042258
5436.0,0.044006
5437.0,0.045801
5438.0,0.047645
5439.0,0.049538
5440.0,0.05148
5441.0,0.053471
5442.0,0.055511
5443.0,0.057599
5444.0,0.059737
5445.0,0.061923
5446.0,0.064158
5447.0,0.066441
5448.0,0.068773
5449.0,0.071152
5450.0,0.07358
5451.0,0.076056
5452.0,0.07858
5453.0,0.081151
5454.0,0.083771
5455.0,0.086439
5456.0,0.089155
5457.0,0.091919
5458.0,0.094731
5459.0,0.097592
5460.0,0.1005
5461.0,0.103456
5462.0,0.10646
5463.0,0.109508
5464.0,0.112601
5465.0,0.115736
5466.0,0.118912
5467.0,0.122128
5468.0,0.125382
5469.0,0.128673
5470.0,0.132
5471.0,0.135361
5472.0,0.138758
5473.0,0.142192
5474.0,0.145665
5475.0,0.149178
5476.0,0.152733
5477.0,0.156331
5478.0,0.159974
5479.0,0.163663
5480.0,0.1674
5481.0,0.171186
5482.0,0.175022
5483.0,0.178907
5484.0,0.182842
5485.0,0.186827
5486.0,0.190861
5487.0,0.194946
5488.0,0.19908
5489.0,0.203265
5490.0,0.2075
5491.0,0.211785
5492.0,0.216117
5493.0,0.220493
5494.0,0.224911
5495.0,0.229366
5496.0,0.233856
5497.0,0.238377
5498.0,0.242927
5499.0,0.247502
5500.0,0.2521
5501.0,0.256717
5502.0,0.261355
5503.0,0.266014
5504.0,0.270694
5505.0,0.275398
5506.0,0.280126
5507.0,0.284879
5508.0,0.289659
5509.0,0.294465
5510.0,0.2993
5511.0,0.304164
5512.0,0.309057
5513.0,0.31398
5514.0,0.318933
5515.0,0.323916
5516.0,0.328931
5517.0,0.333976
5518.0,0.339052
5519.0,0.34416
5520.0,0.3493
5521.0,0.354471
5522.0,0.35967
5523.0,0.364892
5524.0,0.370132
5525.0,0.375386
5526.0,0.380649
5527.0,0.385916
5528.0,0.391184
5529.0,0.396447
5530.0,0.4017
5531.0,0.40694
5532.0,0.412165
5533.0,0.417374
5534.0,0.422566
5535.0,0.42774
5536.0,0.432895
5537.0,0.438029
5538.0,0.443142
5539.0,0.448233
5540.0,0.4533
5541.0,0.458343
5542.0,0.463359
5543.0,0.468349
5544.0,0.47331
5545.0,0.478241
5546.0,0.48314
5547.0,0.488008
5548.0,0.492841
5549.0,0.497639
5550.0,0.5024
5551.0,0.507123
5552.0,0.511804
5553.0,0.51644
5554.0,0.521026
5555.0,0.52556
