#http://jwst.astro.umontreal.ca/?page_id=51

NIRISS Instrument Team Estimated Throughput. Source: Loic Albert.
First order is valid between 0.6 and 3.0 microns.
Second order is valid between 0.6 and 1.4 microns.
Third order is a highly uncertain guess lacking lab test.
---
     wavelength (nm)       T first order      T second order       T third order
               500.0          -2.413E-06          -2.785E-05          -4.812E-05
               501.0          -2.479E-06          -2.879E-05          -4.842E-05
               502.0          -2.522E-06          -2.954E-05          -4.837E-05
               503.0          -2.571E-06          -3.011E-05          -4.801E-05
               504.0          -2.590E-06          -3.060E-05          -4.749E-05
               505.0          -2.603E-06          -3.094E-05          -4.679E-05
               506.0          -2.601E-06          -3.099E-05          -4.563E-05
               507.0          -2.554E-06          -3.045E-05          -4.366E-05
               508.0          -2.459E-06          -2.943E-05          -4.108E-05
               509.0          -2.330E-06          -2.788E-05          -3.791E-05
               510.0          -2.140E-06          -2.573E-05          -3.406E-05
               511.0          -1.888E-06          -2.281E-05          -2.942E-05
               512.0          -1.577E-06          -1.916E-05          -2.406E-05
               513.0          -1.204E-06          -1.466E-05          -1.792E-05
               514.0          -7.411E-07          -9.041E-06          -1.076E-05
               515.0          -1.730E-07          -2.120E-06          -2.457E-06
               516.0           5.015E-07           6.168E-06           6.958E-06
               517.0           1.304E-06           1.608E-05           1.766E-05
               518.0           2.242E-06           2.782E-05           2.976E-05
               519.0           3.337E-06           4.146E-05           4.316E-05
               520.0           4.572E-06           5.719E-05           5.797E-05
               521.0           6.007E-06           7.529E-05           7.429E-05
               522.0           7.623E-06           9.590E-05           9.215E-05
               523.0           9.428E-06           0.0001191           0.0001114
               524.0           1.143E-05           0.0001451           0.0001321
               525.0           1.368E-05           0.0001740           0.0001543
               526.0           1.615E-05           0.0002061           0.0001779
               527.0           1.881E-05           0.0002410           0.0002026
               528.0           2.170E-05           0.0002793           0.0002285
               529.0           2.489E-05           0.0003217           0.0002563
               530.0           2.835E-05           0.0003684           0.0002857
               531.0           3.221E-05           0.0004197           0.0003169
               532.0           3.631E-05           0.0004757           0.0003497
               533.0           4.070E-05           0.0005353           0.0003829
               534.0           4.542E-05           0.0006001           0.0004177
               535.0           5.064E-05           0.0006717           0.0004549
               536.0           5.623E-05           0.0007494           0.0004937
               537.0           6.208E-05           0.0008316           0.0005330
               538.0           6.831E-05           0.0009200           0.0005736
               539.0           7.505E-05            0.001016           0.0006162
               540.0           8.232E-05            0.001119           0.0006603
               541.0           8.989E-05            0.001229           0.0007056
               542.0           9.805E-05            0.001347           0.0007524
               543.0           0.0001065            0.001473           0.0008000
               544.0           0.0001156            0.001607           0.0008491
               545.0           0.0001252            0.001751           0.0009001
               546.0           0.0001355            0.001906           0.0009527
               547.0           0.0001463            0.002069            0.001006
               548.0           0.0001576            0.002242            0.001061
               549.0           0.0001691            0.002424            0.001115
               550.0           0.0001814            0.002616            0.001171
               551.0           0.0001945            0.002821            0.001228
               552.0           0.0002081            0.003039            0.001287
               553.0           0.0002222            0.003269            0.001347
               554.0           0.0002372            0.003511            0.001406
               555.0           0.0002523            0.003763            0.001465
               556.0           0.0002680            0.004029            0.001523
               557.0           0.0002846            0.004309            0.001583
               558.0           0.0003017            0.004601            0.001642
               559.0           0.0003191            0.004906            0.001701
               560.0           0.0003372            0.005225            0.001759
               561.0           0.0003560            0.005565            0.001820
               562.0           0.0003755            0.005920            0.001881
               563.0           0.0003957            0.006290            0.001942
               564.0           0.0004163            0.006674            0.002001
               565.0           0.0004371            0.007072            0.002060
               566.0           0.0004584            0.007485            0.002118
               567.0           0.0004799            0.007914            0.002175
               568.0           0.0005021            0.008359            0.002232
               569.0           0.0005247            0.008826            0.002289
               570.0           0.0005478            0.009310            0.002345
               571.0           0.0005717            0.009810            0.002400
               572.0           0.0005954             0.01033            0.002454
               573.0           0.0006192             0.01086            0.002507
               574.0           0.0006432             0.01141            0.002558
               575.0           0.0006677             0.01198            0.002608
               576.0           0.0006925             0.01257            0.002653
               577.0           0.0007168             0.01317            0.002695
               578.0           0.0007416             0.01379            0.002737
               579.0           0.0007664             0.01444            0.002778
               580.0           0.0007917             0.01511            0.002818
               581.0           0.0008170             0.01580            0.002856
               582.0           0.0008415             0.01650            0.002892
               583.0           0.0008666             0.01722            0.002927
               584.0           0.0008908             0.01797            0.002960
               585.0           0.0009147             0.01873            0.002990
               586.0           0.0009390             0.01951            0.003020
               587.0           0.0009630             0.02032            0.003050
               588.0           0.0009866             0.02116            0.003077
               589.0            0.001009             0.02199            0.003100
               590.0            0.001031             0.02285            0.003123
               591.0            0.001053             0.02376            0.003146
               592.0            0.001075             0.02468            0.003168
               593.0            0.001095             0.02562            0.003187
               594.0            0.001114             0.02657            0.003203
               595.0            0.001134             0.02755            0.003220
               596.0            0.001152             0.02856            0.003234
               597.0            0.001169             0.02959            0.003244
               598.0            0.001185             0.03064            0.003247
               599.0            0.001200             0.03170            0.003248
               600.0            0.001213             0.03279            0.003248
               601.0            0.001226             0.03391            0.003247
               602.0            0.001237             0.03505            0.003245
               603.0            0.001247             0.03623            0.003242
               604.0            0.001256             0.03744            0.003238
               605.0            0.001264             0.03865            0.003231
               606.0            0.001270             0.03989            0.003224
               607.0            0.001275             0.04116            0.003216
               608.0            0.001279             0.04246            0.003205
               609.0            0.001281             0.04376            0.003194
               610.0            0.001281             0.04508            0.003180
               611.0            0.001278             0.04637            0.003162
               612.0            0.001275             0.04767            0.003141
               613.0            0.001270             0.04899            0.003121
               614.0            0.001264             0.05034            0.003100
               615.0            0.001259             0.05172            0.003079
               616.0            0.001253             0.05314            0.003058
               617.0            0.001246             0.05461            0.003037
               618.0            0.001238             0.05613            0.003016
               619.0            0.001231             0.05768            0.002987
               620.0            0.001223             0.05927            0.002958
               621.0            0.001214             0.06083            0.002925
               622.0            0.001205             0.06240            0.002891
               623.0            0.001193             0.06396            0.002856
               624.0            0.001182             0.06553            0.002821
               625.0            0.001170             0.06711            0.002783
               626.0            0.001159             0.06871            0.002747
               627.0            0.001149             0.07032            0.002710
               628.0            0.001138             0.07193            0.002672
               629.0            0.001126             0.07353            0.002632
               630.0            0.001117             0.07516            0.002594
               631.0            0.001108             0.07676            0.002554
               632.0            0.001100             0.07840            0.002514
               633.0            0.001093             0.08008            0.002476
               634.0            0.001089             0.08177            0.002438
               635.0            0.001086             0.08344            0.002399
               636.0            0.001085             0.08513            0.002359
               637.0            0.001085             0.08688            0.002323
               638.0            0.001090             0.08867            0.002286
               639.0            0.001095             0.09043            0.002249
               640.0            0.001105             0.09221            0.002204
               641.0            0.001118             0.09401            0.002158
               642.0            0.001133             0.09583            0.002113
               643.0            0.001153             0.09766            0.002069
               644.0            0.001177             0.09952            0.002024
               645.0            0.001205              0.1014            0.001982
               646.0            0.001238              0.1033            0.001940
               647.0            0.001275              0.1052            0.001897
               648.0            0.001316              0.1070            0.001854
               649.0            0.001363              0.1087            0.001812
               650.0            0.001416              0.1105            0.001769
               651.0            0.001459              0.1122            0.001727
               652.0            0.001507              0.1140            0.001687
               653.0            0.001558              0.1157            0.001645
               654.0            0.001614              0.1174            0.001606
               655.0            0.001676              0.1191            0.001568
               656.0            0.001742              0.1208            0.001529
               657.0            0.001812              0.1225            0.001493
               658.0            0.001891              0.1242            0.001457
               659.0            0.001974              0.1260            0.001421
               660.0            0.002062              0.1277            0.001389
               661.0            0.002155              0.1294            0.001353
               662.0            0.002255              0.1310            0.001313
               663.0            0.002361              0.1326            0.001274
               664.0            0.002470              0.1341            0.001240
               665.0            0.002586              0.1356            0.001205
               666.0            0.002709              0.1371            0.001171
               667.0            0.002841              0.1387            0.001139
               668.0            0.002979              0.1402            0.001107
               669.0            0.003122              0.1417            0.001078
               670.0            0.003275              0.1431            0.001049
               671.0            0.003432              0.1445            0.001020
               672.0            0.003599              0.1459           0.0009922
               673.0            0.003776              0.1474           0.0009666
               674.0            0.003958              0.1488           0.0009430
               675.0            0.004150              0.1502           0.0009163
               676.0            0.004347              0.1515           0.0008918
               677.0            0.004555              0.1529           0.0008666
               678.0            0.004774              0.1542           0.0008437
               679.0            0.004998              0.1556           0.0008176
               680.0            0.005236              0.1569           0.0007937
               681.0            0.005472              0.1580           0.0007687
               682.0            0.005719              0.1591           0.0007406
               683.0            0.005980              0.1602           0.0007036
               684.0            0.006250              0.1614           0.0006660
               685.0            0.006528              0.1625           0.0006279
               686.0            0.006817              0.1636           0.0005892
               687.0            0.007112              0.1646           0.0005500
               688.0            0.007419              0.1656           0.0005102
               689.0            0.007737              0.1667           0.0004698
               690.0            0.008068              0.1677           0.0004318
               691.0            0.008400              0.1685           0.0003931
               692.0            0.008743              0.1693           0.0003540
               693.0            0.009097              0.1701           0.0003174
               694.0            0.009458              0.1709           0.0002803
               695.0            0.009832              0.1716           0.0002428
               696.0             0.01022              0.1724           0.0002079
               697.0             0.01061              0.1730           0.0001756
               698.0             0.01102              0.1737           0.0001431
               699.0             0.01143              0.1744           0.0001132
               700.0             0.01186              0.1750           8.607E-05
               701.0             0.01226              0.1757           5.868E-05
               702.0             0.01266              0.1763           3.413E-05
               703.0             0.01308              0.1770           1.247E-05
               704.0             0.01351              0.1776               0.000
               705.0             0.01396              0.1782               0.000
               706.0             0.01440              0.1787               0.000
               707.0             0.01486              0.1792               0.000
               708.0             0.01532              0.1796               0.000
               709.0             0.01581              0.1800               0.000
