# Wavelength (nm), lambda Transmission
622.0,0.0
623.0,0.0
624.0,0.0
625.0,0.0
626.0,0.0
627.0,0.0
628.0,0.0
629.0,0.0
630.0,0.0
631.0,0.0
632.0,0.0
633.0,0.0
634.0,0.0
635.0,0.0
636.0,0.0
637.0,0.0
638.0,0.0
639.0,0.0
640.0,0.0
641.0,0.0
642.0,0.0
643.0,0.0
644.0,0.0
645.0,0.0
646.0,0.0
647.0,0.0
648.0,0.0
649.0,0.0
650.0,0.0
651.0,0.0
652.0,0.0
653.0,0.0
654.0,0.0
655.0,0.0
656.0,0.0
657.0,0.0
658.0,0.0
659.0,0.0
660.0,0.000178440765
661.0,0.000229440562
662.0,0.00028212829
663.0,0.00033654106700000005
664.0,0.000392716681
665.0,0.000450694528
666.0,0.0005105048920000001
667.0,0.0005721884419999999
668.0,0.000635781559
669.0,0.00070132451
670.0,0.0007688477799999999
671.0,0.0008383911
672.0,0.00090999132
673.0,0.00098368529
674.0,0.00105951455
675.0,0.00113750657
675.9999999999999,0.001217771899999991
677.0,0.00130064152
677.9999999999999,0.0013864939799999904
679.0,0.00147571319
679.9999999999999,0.0015686730099999896
681.0,0.0016657995599999999
681.9999999999999,0.0017674345399999888
683.0,0.0018739631999999998
683.9999999999999,0.0019857553799999877
685.0,0.00210319834
686.0,0.0022266699599999863
687.0,0.00235655281
688.0,0.0024932348199999997
689.0,0.0026370851600000167
690.0,0.0027884884099999997
691.0000000000001,0.0029477487500000187
692.0,0.0031153144099999998
693.0000000000001,0.00329158270000002
694.0,0.00347690738
695.0000000000001,0.003671686430000023
696.0,0.00387629371
697.0000000000001,0.004091131220000025
698.0,0.00431655071
699.0000000000001,0.004552946140000027
700.0,0.004800702089999999
701.0000000000001,0.00505999276000003
702.0,0.005330205100000001
703.0000000000001,0.0056104486800000325
704.0,0.00589987729
705.0000000000001,0.006197636010000033
706.0,0.006502874610000001
707.0000000000001,0.006814697300000035
708.0,0.0071323376
709.0,0.0074548019
710.0,0.0077812929
711.0,0.008111060199999999
712.0,0.008443051899999998
713.0,0.0087765109
714.0,0.009110546099999998
715.0,0.009444427200000001
716.0,0.009777108999999999
717.0,0.010107794199999999
718.0,0.0104356252
719.0,0.0107597779
720.0,0.0110793545
721.0,0.0113932026
722.0,0.011700739299999999
723.0,0.012001107
724.0,0.012293454799999999
725.0,0.0125769251
726.0,0.0128063398
727.0,0.012926598099999999
728.0,0.0130488396
729.0,0.0131728097
730.0,0.01329816
731.0,0.0134249039
732.0,0.0135525523
733.0,0.0136806965
734.0,0.013809021599999999
735.0,0.013937011699999998
736.0,0.014064539499999999
737.0,0.0141910355
738.0,0.014316258499999998
739.0,0.0144396457
740.0,0.0145608554
741.0,0.0146794789
742.0,0.014795174500000001
743.0,0.014907486599999999
744.0,0.015015986399999999
745.0,0.0151202719
746.0,0.015219941099999999
747.0,0.015314591999999998
748.0,0.0154038561
749.0,0.0154872644
750.0,0.015564441699999999
751.0,0.0156346242
752.0,0.015698368
753.0,0.0157559076
754.0,0.015807437299999998
755.0,0.0158532184
756.0,0.0158935122
757.0,0.015928579999999998
758.0,0.015958750100000002
759.0,0.0159843106
760.0,0.0160056099
761.0,0.0160229897
762.0,0.0160368252
763.0,0.0160475318
764.0,0.0160555115
765.0,0.0160612065
766.0,0.016065072399999998
767.0,0.016067605
768.0,0.01606928
769.0,0.0160706267
770.0,0.0160721811
771.0,0.0160744993
772.0,0.0160781709
773.0,0.0160837654
774.0,0.0160919059
775.0,0.0161032021
776.0,0.016118056
777.0,0.0161362197
778.0,0.016157271100000002
779.0,0.0161808015
780.0,0.016206362000000002
781.0,0.0162326997
782.0,0.0162602434
783.0,0.0162886313
784.0,0.0163174614
785.0,0.016346318300000003
786.0,0.0163748067
787.0,0.0164025447
788.0,0.016429150400000002
788.9999999999999,0.016454241899999996
790.0,0.0164774574
790.9999999999999,0.016498414999999995
792.0,0.016516726099999997
792.9999999999999,0.016532035599999998
794.0,0.016544015199999998
794.9999999999999,0.0165523031
796.0,0.016556517399999998
796.9999999999999,0.0165563231
798.0,0.0165513517
798.9999999999999,0.016541315100000002
800.0,0.016525824699999997
800.9999999999999,0.0165046862
802.0,0.016478114000000002
802.9999999999999,0.016446463200000004
804.0,0.0164100822
804.9999999999999,0.016369346200000003
806.0,0.016324570099999998
806.9999999999999,0.016276122400000002
808.0,0.0162243314
808.9999999999999,0.016169518700000007
810.0,0.0161120528
811.0,0.016051799700000008
812.0,0.0159895299
813.0,0.015925551599999997
814.0,0.01586017299999999
815.0,0.0157936889
816.0000000000001,0.015726427599999995
817.0,0.0156586638
818.0000000000001,0.015590665499999993
819.0,0.015522740900000002
820.0000000000001,0.015455144599999991
821.0,0.0153877158
822.0000000000001,0.015321131199999992
823.0,0.015255692299999998
824.0000000000001,0.015191606799999993
825.0,0.015129109199999997
826.0000000000001,0.015068447399999992
827.0,0.0150096348
828.0000000000001,0.014952651299999993
829.0,0.0148974902
830.0000000000001,0.014844124699999996
831.0,0.014792528000000001
832.0000000000001,0.014742666599999996
833.0,0.014694513700000002
834.0000000000001,0.014648029099999994
835.0,0.0146031659
836.0000000000001,0.014559903999999995
837.0,0.014518189800000001
838.0000000000001,0.014477989799999995
839.0,0.014439257100000002
840.0000000000001,0.014401944799999997
841.0,0.0143656107
842.0000000000001,0.014330603199999993
843.0,0.0142969022
844.0000000000001,0.014264433999999996
845.0,0.014233185200000002
846.0000000000001,0.014203075399999997
847.0,0.0141740778
848.0000000000001,0.014146165599999996
849.0,0.0141193053
850.0000000000001,0.014093436599999998
851.0,0.014068887799999999
852.0,0.014045009
853.0,0.0140215724
854.0,0.013998289899999999
855.0,0.0139749136
856.0,0.013951182199999999
857.0,0.013926841099999998
858.0,0.013901642399999999
859.0,0.0138753583
860.0,0.013847740899999999
861.0,0.013818187199999998
862.0,0.0137868647
863.0,0.0137535389
864.0,0.013718002100000001
865.0,0.0136806563
866.0,0.0136428147
867.0,0.013600410399999999
868.0,0.0135550112
869.0,0.0135047143
870.0,0.013452876400000001
871.0,0.0133958259
872.0,0.013333422099999999
873.0,0.013269028399999999
874.0,0.0131990067
875.0,0.0131249918
876.0,0.0130464209
877.0,0.0129657663
878.0,0.012879959399999998
879.0,0.0127910303
880.0,0.0126992537
881.0,0.0126032963
882.0,0.012506802899999999
883.0,0.0124045676
884.0,0.012299183299999999
885.0,0.012194140700000002
886.0,0.0120865588
887.0,0.011978286800000001
888.0,0.0118696262
889.0,0.0117608785
890.0,0.0116522514
891.0,0.0115428404
892.0,0.011434086
893.0,0.0113262495
894.0,0.011218091399999998
895.0,0.011112787499999999
896.0,0.0110076377
897.0,0.010904296899999999
898.0,0.010802992899999999
899.0,0.010703926699999998
900.0,0.0106072457
901.0,0.010511469199999998
902.0,0.010418185100000001
903.0,0.0103272929
904.0,0.0102386653
905.0,0.010152181699999999
906.0,0.0100677349
907.0,0.0099838911
908.0,0.0099031628
909.0,0.0098228164
910.0,0.0097440512
911.0,0.0096670146
912.0,0.0095900584
913.0,0.009515601299999999
914.0,0.0094410236
915.0,0.009368676999999999
916.0,0.0092960423
917.0,0.009224204900000001
917.9999999999999,0.009153104500000007
919.0,0.0090826004
919.9999999999999,0.009011774700000008
921.0,0.0089439707
921.9999999999999,0.008877654100000007
923.0,0.0088092873
923.9999999999999,0.008742240400000007
925.0,0.0086752806
925.9999999999999,0.008610612200000006
927.0,0.0085436859
927.9999999999999,0.008477885200000007
929.0,0.008410992400000001
929.9999999999999,0.008345164900000007
931.0,0.008280161500000001
931.9999999999999,0.008214019100000008
933.0,0.0081478164
933.9999999999999,0.008083583500000008
935.0,0.0080170793
936.0,0.007951392500000007
937.0,0.007886369
938.0,0.0078198782
939.0,0.007752804499999992
940.0,0.007684967
